Row ID;Order ID;Order Date;Order Priority;Order Quantity;Sales;Discount;Ship Mode;Profit;Unit Price;Shipping Cost;Customer Name;Product Name;Ship Date
381;2631;2010-09-23;Low;27;1078.49;0.08;Regular Air;252.66;40.96;1.99;Jack Garza;Fuji 5.2GB DVD-RAM;2010-09-25
406;2757;2011-07-19;Critical;39;3554.46;0.07;Delivery Truck;-1766.01;95.95;74.35;Julia West;Bevis Steel Folding Chairs;2011-07-19
413;2791;2009-10-09;High;47;191.67;0;Regular Air;-236.27;3.89;7.01;Eugene Barchas;Avery Binder Labels;2009-10-09
414;2791;2009-10-09;High;49;5586.33;0.09;Delivery Truck;80.44;120.98;30;Eugene Barchas;Hon Every-Day� Chair Series Swivel Task Chairs;2009-10-11
415;2791;2009-10-09;High;18;507.64;0.1;Regular Air;118.94;30.98;5.76;Eugene Barchas;"IBM Multi-Purpose Copy Paper. 8 1/2 x 11"". Case";2009-10-10
440;2976;2010-12-09;Not Specified;30;14223.82;0.09;Delivery Truck;3424.22;500.98;26;Edward Hooks;Global Troy� Executive Leather Low-Back Tilter;2010-12-11
471;3232;2012-10-08;Critical;5;42.66;0.06;Regular Air;-11.83;7.84;4.71;Brad Eason;XtraLife� ClearVue� Slant-D� Ring Binders by Cardinal;2012-10-10
513;3524;2012-05-02;High;21;427.32;0;Regular Air;52.35;18.97;9.03;Nicole Hansen;Computer Printout Paper with Letter-Trim Perforations;2012-05-03
577;3908;2010-03-08;Medium;8;820.284;0;Regular Air;-180.2;115.99;2.5;Dorothy Wardle;6160;2010-03-08
606;4132;2011-05-28;Not Specified;5;14.76;0.01;Regular Air;1.32;2.88;0.5;Aaron Bergman;Avery 49;2011-05-30
656;4612;2010-09-19;Medium;9;89.55;0.06;Regular Air;-375.64;4.48;49;Jim Radford;Hoover Portapower� Portable Vacuum;2010-09-21
669;4676;2011-08-31;High;11;1210.0515;0.04;Regular Air;-104.25;125.99;7.69;Annie Cyprus;Timeport L7089;2011-09-01
670;4676;2011-08-31;High;50;187.83;0.03;Regular Air;85.96;3.75;0.5;Annie Cyprus;Avery 510;2011-09-02
671;4676;2011-08-31;High;3;49.59;0.07;Express Air;-8.38;12.28;6.47;Annie Cyprus;Xerox 1881;2011-09-02
672;4676;2011-08-31;High;30;4253.009;0.01;Regular Air;1115.69;155.99;8.99;Annie Cyprus;LX 788;2011-09-01
734;5284;2011-07-08;Not Specified;7;59.38;0.1;Regular Air;-3.05;8.69;2.99;Annie Cyprus;Cardinal Slant-D� Ring Binder. Heavy Gauge Vinyl;2011-07-10
735;5316;2009-01-30;Critical;42;1285.37;0.1;Regular Air;514.07;31.78;1.99;Clay Rozendal;Memorex 4.7GB DVD-RAM. 3/Pack;2009-02-01
755;5409;2012-01-08;Low;11;48.91;0.01;Regular Air;-7.04;3.98;2.97;Don Jones;Unpadded Memo Slips;2012-01-13
769;5506;2010-11-07;Critical;22;129.62;0.05;Regular Air;4.41;5.88;3.04;Beth Thompson;"Adams Telephone Message Book W/Dividers/Space For Phone Numbers. 5 1/4""X8 1/2"". 300/Messages";2010-11-08
782;5569;2010-04-29;Not Specified;12;118.97;0.09;Regular Air;-0.06;9.65;6.22;Frank Price;Eldon Expressions� Desk Accessory. Wood Pencil Holder. Oak;2010-05-01
786;5607;2011-12-31;Not Specified;8;61.8715;0;Regular Air;-50.33;7.99;5.03;Michelle Lonsdale;Bell Sonecor JB700 Caller ID;2012-01-03
817;5894;2009-08-12;High;7;384.33;0.1;Regular Air;87.68;58.1;1.49;Ann Chong;Avery Arch Ring Binders;2009-08-13
818;5894;2009-08-12;High;3;239.03;0.01;Regular Air;-68.22;80.48;4.5;Ann Chong;APC 7 Outlet Network SurgeArrest Surge Protector;2009-08-15
821;5925;2011-11-12;Low;44;3922.42;0.08;Regular Air;-354.9;92.23;39.61;Joy Bell;Deflect-o RollaMat Studded. Beveled Mat for Medium Pile Carpeting;2011-11-19
822;5925;2011-11-12;Low;25;1733.3625;0.07;Regular Air;-267.01;85.99;0.99;Joy Bell;Accessory4;2011-11-19
839;6016;2012-01-20;High;19;208.28;0.07;Regular Air;3.63;11.48;5.43;Skye Norling;Personal Creations� Ink Jet Cards and Labels;2012-01-20
853;6116;2009-03-20;Medium;6;9620.82;0.04;Regular Air;-1759.58;1637.53;24.49;Barry Weirich;High Speed Automatic Electric Letter Opener;2009-03-22
863;6182;2012-07-21;Low;40;255.48;0.04;Regular Air;-116.79;6.48;6.65;Grant Carroll;Xerox 1966;2012-07-28
864;6182;2012-07-21;Low;18;130.32;0.04;Express Air;-67.28;6.48;7.86;Grant Carroll;Xerox 213;2012-07-25
911;6535;2012-06-12;Critical;11;312.36;0.07;Express Air;-19.33;28.15;8.99;Adrian Hane;Boston Electric Pencil Sharpener. Model 1818. Charcoal Black;2012-06-15
950;6884;2009-01-15;Low;41;217;0.01;Regular Air;-61.21;4.98;4.75;Skye Norling;Hammermill CopyPlus Copy Paper (20Lb. and 84 Bright);2009-01-20
951;6884;2009-01-15;Low;47;296.13;0.04;Regular Air;119.09;6.35;1.02;Skye Norling;"Telephone Message Books with Fax/Mobile Section. 5 1/2"" x 3 3/16""";2009-01-20
956;6916;2010-06-04;Low;40;436.17;0.08;Express Air;-141.27;10.9;7.46;Andrew Gjertsen;Crate-A-Files�;2010-06-08
963;6980;2010-02-18;Not Specified;18;136.29;0.05;Regular Air;-77.28;7.3;7.72;Ralph Knight;Angle-D Binders with Locking Rings. Label Holders;2010-02-19
964;6982;2011-11-16;Not Specified;32;1311.25;0;Express Air;407.44;39.48;1.99;Dorothy Wardle;80 Minute CD-R Spindle. 100/Pack - Staples;2011-11-18
965;6982;2011-11-16;Not Specified;5;544.41;0.09;Delivery Truck;-338.27;100.98;57.38;Dorothy Wardle;Bush Westfield Collection Bookcases. Dark Cherry Finish. Fully Assembled;2011-11-18
966;6982;2011-11-16;Not Specified;41;844.09;0.04;Regular Air;52.56;19.98;10.49;Dorothy Wardle;12-1/2 Diameter Round Wall Clock;2011-11-18
988;7110;2011-08-07;Low;22;6396.2;0.02;Regular Air;1902.24;276.2;24.49;Grant Carroll;SAFCO Arco Folding Chair;2011-08-11
1017;7430;2010-06-08;Medium;50;751.77;0.05;Regular Air;353.2;15.67;1.39;Barry Weirich;#10 White Business Envelopes.4 1/8 x 9 1/2;2010-06-09
1073;7906;2009-10-17;Medium;37;1003.06;0.03;Regular Air;271.78;25.98;5.37;Beth Paige;3M Office Air Cleaner;2009-10-17
1154;8391;2011-08-28;High;4;1266.72;0.04;Delivery Truck;-268.36;300.98;64.73;Sylvia Foulston;Global Leather and Oak Executive Chair. Black;2011-08-29
1156;8419;2011-09-29;Critical;19;368.04;0.07;Express Air;70.39;19.98;5.97;Nicole Hansen;Xerox 1936;2011-10-01
1157;8419;2011-09-29;Critical;24;152.6;0.1;Regular Air;-86.62;6.48;7.03;Nicole Hansen;Xerox 214;2011-09-30
1205;8833;2012-05-04;Low;40;3338.98;0;Regular Air;-846.73;80.98;35;Nicole Hansen;Carina Double Wide Media Storage Towers in Natural & Black;2012-05-08
1226;8995;2011-05-17;High;5;24.16;0.08;Express Air;8.05;1.88;1.49;Beth Paige;Staples� General Use 3-Ring Binders;2011-05-18
1227;8995;2011-05-17;High;41;270.84;0.1;Express Air;-78.02;6.48;5.86;Beth Paige;Xerox 1904;2011-05-18
1228;8995;2011-05-17;High;35;3389.93;0.08;Express Air;737.94;102.3;21.26;Beth Paige;Luxo Professional Combination Clamp-On Lamps;2011-05-18
1229;8995;2011-05-17;High;42;266.36;0.07;Regular Air;-191.28;6.48;8.19;Beth Paige;Xerox 217;2011-05-18
1230;8995;2011-05-17;High;46;89.41;0.01;Regular Air;-21.49;1.89;0.76;Beth Paige;Revere Boxed Rubber Bands by Revere;2011-05-19
1258;9126;2009-11-17;Medium;47;2799.7;0.04;Regular Air;884.08;62.05;3.99;Sylvia Foulston;Acco Smartsocket� Table Surge Protector. 6 Color-Coded Adapter Outlets;2009-11-18
1259;9127;2011-10-10;Not Specified;7;2039.56;0.04;Express Air;-329.49;279.48;35;Bryan Davis;Tennsco Snap-Together Open Shelving Units. Starter Sets and Add-On Units;2011-10-12
1299;9509;2012-10-07;Not Specified;36;12175.82;0.02;Delivery Truck;2825.15;320.98;58.95;Joy Bell;Hon 4070 Series Pagoda� Round Back Stacking Chairs;2012-10-08
1300;9509;2012-10-07;Not Specified;5;101.21;0.1;Express Air;2.13;18.97;5.21;Joy Bell;Xerox 1887;2012-10-08
1301;9509;2012-10-07;Not Specified;32;1585.64;0.02;Regular Air;707.15;48.91;5.81;Joy Bell;Xerox 1891;2012-10-07
1337;9763;2011-08-13;Medium;44;176.26;0.07;Regular Air;75.13;4.13;0.5;Alan Barnes;Avery 506;2011-08-16
1370;9927;2011-08-16;High;32;4655.07;0;Delivery Truck;-270.63;140.98;53.48;Grant Carroll;Bush Heritage Pine Collection 5-Shelf Bookcase. Albany Pine Finish. *Special Order;2011-08-17
1371;9927;2011-08-16;High;44;10087.6;0.01;Regular Air;3387.35;218.08;18.06;Grant Carroll;Lifetime Advantage� Folding Chairs. 4/Carton;2011-08-17
1372;9927;2011-08-16;High;34;1608.08;0.09;Express Air;-82.16;50.98;6.5;Grant Carroll;Microsoft Natural Multimedia Keyboard;2011-08-17
1380;10022;2009-03-04;Low;1;12.18;0.06;Regular Air;-3.88;10.14;2.27;Delfina Latchford;"Staples Wirebound Steno Books. 6"" x 9"". 12/Pack";2009-03-04
1445;10437;2009-08-18;Critical;50;820.52;0.01;Regular Air;-191.22;15.99;13.18;Don Jones;"GBC Pre-Punched Binding Paper. Plastic. White. 8-1/2"" x 11""";2009-08-20
1457;10499;2010-11-16;Not Specified;29;6250.936;0.01;Delivery Truck;31.21;262.11;62.74;Doug Bickford;Bevis Boat-Shaped Conference Table;2010-11-17
1462;10535;2011-05-27;Low;25;854.88;0.09;Regular Air;-44.14;33.98;19.99;Doug Bickford;"Linden� 12"" Wall Clock With Oak Frame";2011-05-29
1463;10535;2011-05-27;Low;46;80.27;0.09;Regular Air;-0.79;1.76;0.7;Doug Bickford;Newell 326;2011-06-03
1495;10789;2010-08-23;Not Specified;15;308.54;0;Express Air;76.42;19.84;4.1;Jamie Kunitz;Prismacolor Color Pencil Set;2010-08-24
1496;10791;2011-08-19;Not Specified;20;400.57;0.05;Regular Air;93.36;19.98;5.77;Anthony Johnson;Xerox Blank Computer Paper;2011-08-21
1513;10945;2012-01-03;Medium;14;1170.025;0.04;Regular Air;4.22;95.99;8.99;Ralph Knight;600 Series Flip;2012-01-05
1544;11137;2012-11-29;High;48;5188.86;0.1;Regular Air;395.12;111.03;8.64;Allen Rosenblatt;Fellowes Recycled Storage Drawers;2012-11-30
1551;11202;2012-03-17;Medium;8;339.81;0.05;Regular Air;79.59;43.41;2.99;Barry Weirich;Satellite Sectional Post Binders;2012-03-18
1589;11456;2010-04-12;Low;15;1519.9;0.09;Regular Air;399.37;105.34;24.49;Doug Bickford;Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting;2010-04-19
1590;11460;2010-08-24;High;30;102.24;0.09;Regular Air;37.79;3.69;0.5;Carl Jackson;Avery 487;2010-08-26
1594;11495;2011-07-04;High;6;965.69;0;Delivery Truck;-144.2;146.34;43.75;Brendan Dodson;Bevis Round Conference Table Top & Single Column Base;2011-07-05
1654;11911;2010-11-10;Critical;25;397.84;0;Regular Air;-14.75;15.22;9.73;Edward Hooks;"GBC Twin Loop� Wire Binding Elements. 9/16"" Spine. Black";2010-11-12
1655;11941;2010-06-24;Critical;4;73.07;0.08;Regular Air;-41.01;15.7;11.25;Jamie Kunitz;Hanging Personal Folder File;2010-06-25
1656;11941;2010-06-24;Critical;26;4679.1;0.05;Delivery Truck;111.52;179.29;29.21;Jamie Kunitz;Bevis Round Conference Table Top. X-Base;2010-06-25
1675;12096;2012-09-19;Medium;46;8009.5925;0.02;Regular Air;2332.4;200.99;8.08;Michelle Lonsdale;5125;2012-09-19
1676;12096;2012-09-19;Medium;23;4689.66;0.01;Regular Air;2176.19;194.3;11.54;Michelle Lonsdale;Electrix Halogen Magnifier Lamp;2012-09-21
1710;12289;2011-12-24;Low;25;3019.41;0.04;Regular Air;1269.05;120.97;7.11;Brendan Dodson;Canon BP1200DH 12-Digit Bubble Jet Printing Calculator;2011-12-28
1718;12352;2012-03-23;Medium;5;36.86;0.07;Regular Air;-32.82;5.81;8.49;Hunter Glantz;Fellowes Black Plastic Comb Bindings;2012-03-24
1727;12419;2011-10-15;Critical;12;22079.47;0.06;Regular Air;5322.14;1938.02;13.99;Sylvia Foulston;Polycom ViewStation� Adapter H323 Videoconferencing Unit;2011-10-17
1745;12485;2010-08-07;Critical;24;5407.31;0.04;Delivery Truck;1068.48;226.67;28.16;Eugene Barchas;Hon GuestStacker Chair;2010-08-08
1751;12544;2009-03-03;Low;34;74.3;0.08;Regular Air;-129.01;2.08;5.33;Jim Radford;Eldon� Wave Desk Accessories;2009-03-10
1770;12704;2010-02-09;Low;44;21506.77;0.06;Regular Air;1260.51;499.99;24.49;Carlos Soltero;Sharp AL-1530CS Digital Copier;2010-02-09
1771;12704;2010-02-09;Low;28;669.02;0.02;Delivery Truck;-1274.02;20.98;53.03;Carlos Soltero;Tennsco Lockers. Gray;2010-02-11
1781;12771;2009-01-17;Critical;40;1143.49;0.08;Regular Air;-193.44;30.53;19.99;Carlos Soltero;Avery 4027 File Folder Labels for Dot Matrix Printers. 5000 Labels per Box. White;2009-01-17
1782;12771;2009-01-17;Critical;46;78.08;0.01;Regular Air;-43.1;1.68;1.57;Carlos Soltero;Newell 323;2009-01-19
1806;12929;2010-08-30;Critical;19;5297.47;0.02;Delivery Truck;-158.93;270.98;50;Jim Radford;Global Enterprise Series Seating High-Back Swivel/Tilt Chairs;2010-08-31
1807;12929;2010-08-30;Critical;20;95.3;0;Regular Air;29.68;4.48;1.22;Jim Radford;Spiral Phone Message Books with Labels by Adams;2010-08-31
1842;13280;2009-09-11;High;40;460.68;0.01;Regular Air;-116.76;10.9;7.46;Grant Carroll;Crate-A-Files�;2009-09-12
1843;13280;2009-09-11;High;49;318.7585;0.1;Regular Air;-160.95;7.99;5.03;Grant Carroll;Bell Sonecor JB700 Caller ID;2009-09-12
1848;13313;2009-07-16;Not Specified;47;1020.61;0.04;Regular Air;-209.61;21.66;13.99;Skye Norling;Holmes 99% HEPA Air Purifier;2009-07-17
1855;13346;2012-11-15;Low;44;268.34;0.09;Regular Air;-240.83;6.48;8.88;Doug Bickford;Xerox 224;2012-11-20
1913;13702;2011-09-10;Low;6;209;0.08;Regular Air;12.32;35.44;7.5;Grant Carroll;Xerox 1906;2011-09-14
1928;13795;2011-04-10;Not Specified;30;501.32;0.04;Regular Air;-119.08;15.99;13.18;Muhammed MacIntyre;"GBC Pre-Punched Binding Paper. Plastic. White. 8-1/2"" x 11""";2011-04-13
1929;13795;2011-04-10;Not Specified;23;275.16;0.05;Express Air;43.35;11.34;5.01;Muhammed MacIntyre;Xerox 188;2011-04-13
1930;13795;2011-04-10;Not Specified;37;1302.99;0.02;Regular Air;545.49;35.44;5.09;Muhammed MacIntyre;Xerox 1932;2011-04-11
1978;14116;2011-10-09;High;1;40.1;0.09;Regular Air;-16.07;30.98;11.63;Doug Bickford;GBC Linen Binding Covers;2011-10-11
1979;14116;2011-10-09;High;42;1414.05;0.09;Regular Air;161.48;34.54;14.72;Doug Bickford;GBC Recycled Grain Textured Covers;2011-10-10
2013;14372;2012-10-23;Critical;34;5350.61;0.09;Delivery Truck;-1059.2;170.98;60.49;Beth Thompson;Sauder Facets Collection Library. Sky Alder Finish;2012-10-25
2058;14726;2012-01-08;Low;15;310.87;0.07;Regular Air;-21.48;20.95;4;Ralph Knight;Fellowes Basic 104-Key Keyboard. Platinum;2012-01-08
2070;14819;2010-01-25;Not Specified;48;9062.73;0.09;Regular Air;3122.78;207.48;0.99;Carl Jackson;Kensington 7 Outlet MasterPiece Power Center with Fax/Phone Line Protection;2010-01-27
2071;14819;2010-01-25;Not Specified;27;1584.1;0.07;Delivery Truck;-478.22;58.14;36.61;Carl Jackson;O'Sullivan 3-Shelf Heavy-Duty Bookcases;2010-01-26
2114;15106;2011-01-27;Not Specified;42;283.58;0.03;Regular Air;-14.23;6.64;4.95;Dorothy Badders;G.E. Longer-Life Indoor Recessed Floodlight Bulbs;2011-01-29
2115;15106;2011-01-27;Not Specified;39;5403.37;0.06;Delivery Truck;948.79;145.45;17.85;Dorothy Badders;Panasonic KX-P1150 Dot Matrix Printer;2011-01-27
2116;15106;2011-01-27;Not Specified;35;82.15;0.03;Regular Air;-6.33;2.21;1.12;Dorothy Badders;Newell 327;2011-01-29
2117;15108;2009-08-27;High;50;2066.16;0.02;Regular Air;372.36;40.99;17.48;Delfina Latchford;Xerox 1893;2009-08-29
2129;15205;2011-03-17;Critical;18;4605.36;0.02;Delivery Truck;678.26;243.98;43.32;Julia West;Hon Deluxe Fabric Upholstered Stacking Chairs. Rounded Back;2011-03-19
2130;15205;2011-03-17;Critical;42;1753.51;0.02;Regular Air;155.72;39.98;9.2;Julia West;Eldon Radial Chair Mat for Low to Medium Pile Carpets;2011-03-18
2161;15591;2012-06-06;Critical;31;426.34;0;Regular Air;73.53;12.58;5.16;Brad Eason;DAX Copper Panel Document Frame. 5 x 7 Size;2012-06-08
2206;15907;2011-04-11;High;36;1837.44;0.01;Delivery Truck;-1414.41;48.58;54.11;Thomas Seio;O'Sullivan 2-Shelf Heavy-Duty Bookcases;2011-04-13
2207;15907;2011-04-11;High;36;3722.29;0.04;Express Air;950.68;105.98;13.99;Thomas Seio;"Tenex 46"" x 60"" Computer Anti-Static Chairmat. Rectangular Shaped";2011-04-14
2208;15907;2011-04-11;High;4;28.05;0.09;Regular Air;-5.41;7.04;2.17;Thomas Seio;"Wirebound Message Books. 2 7/8"" x 5"". 3 Forms per Page";2011-04-12
2209;15937;2012-11-06;Low;32;311.44;0.04;Regular Air;74.07;9.78;1.99;Monica Federle;Memorex Slim 80 Minute CD-R. 10/Pack;2012-11-10
2210;15937;2012-11-06;Low;17;215.65;0.01;Express Air;77.38;12.22;2.85;Monica Federle;Aluminum Document Frame;2012-11-15
2221;16039;2012-05-16;High;3;121.12;0.1;Regular Air;-118.82;43.98;1.99;Michelle Lonsdale;Memorex 80 Minute CD-R Spindle. 100/Pack;2012-05-17
2246;16193;2012-04-09;Not Specified;8;300.2;0;Regular Air;6.41;34.76;8.22;Frank Price;Multi-Use Personal File Cart and Caster Set. Three Stacking Bins;2012-04-11
2247;16193;2012-04-09;Not Specified;29;1364.8025;0.07;Regular Air;-183.68;55.99;5;Frank Price;Accessory36;2012-04-11
2281;16423;2012-08-05;Medium;19;128.21;0.05;Regular Air;-55.13;6.48;6.57;Bryan Davis;Xerox 20;2012-08-07
2283;16451;2009-07-22;Not Specified;9;252.79;0.09;Regular Air;58.23;30.56;2.99;Don Jones;Surelock� Post Binders;2009-07-23
2294;16545;2010-05-09;Not Specified;10;50.97;0.09;Regular Air;4.45;5.16;0.73;Carlos Soltero;Colorific� Watercolor Pencils;2010-05-11
2295;16545;2010-05-09;Not Specified;1;4.99;0.04;Regular Air;-3.06;3.68;1.32;Carlos Soltero;*Staples* vLetter Openers. 2/Pack;2010-05-11
2296;16547;2009-02-18;Not Specified;30;10554.63;0.09;Delivery Truck;1240.25;355.98;58.92;Nicole Hansen;Hon 4700 Series Mobuis� Mid-Back Task Chairs with Adjustable Arms;2009-02-20
2297;16547;2009-02-18;Not Specified;8;1749.64;0.04;Delivery Truck;-533.23;218.75;69.64;Nicole Hansen;BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables;2009-02-18
2316;16706;2012-06-27;High;47;1943.72;0.03;Regular Air;-1003.58;41.47;34.2;Beth Thompson;Eldon Econocleat� Chair Mats for Low Pile Carpets;2012-06-28
2317;16706;2012-06-27;High;6;18.37;0.01;Regular Air;-4.06;2.78;1.2;Beth Thompson;Prang Drawing Pencil Set;2012-06-28
2318;16706;2012-06-27;High;49;6175.777;0.07;Express Air;1881.58;155.99;3.9;Beth Thompson;T39m;2012-06-29
2323;16741;2010-09-30;Medium;6;157.97;0.01;Regular Air;-42.38;22.84;16.87;Nicole Hansen;Xerox 1982;2010-10-01
2346;16932;2010-04-15;Critical;25;144.84;0.09;Regular Air;-120.99;5.78;8.09;Carlos Soltero;Xerox 1924;2010-04-16
2347;16932;2010-04-15;Critical;20;127.16;0.09;Regular Air;12.88;6.7;1.56;Carlos Soltero;Turquoise Lead Holder with Pocket Clip;2010-04-15
2383;17283;2011-09-14;Not Specified;4;5472.12;0.06;Delivery Truck;-2816.34;1360.14;14.7;Dorothy Badders;Okidata ML395C Color Dot Matrix Printer;2011-09-15
2384;17286;2010-09-21;High;7;1810.67;0.09;Delivery Truck;-541.87;270.98;50;Muhammed MacIntyre;Global Enterprise Series Seating High-Back Swivel/Tilt Chairs;2010-09-22
2402;17409;2010-08-17;Not Specified;31;633.56;0.09;Regular Air;-158.87;20.97;6.5;Muhammed MacIntyre;Microsoft Internet Keyboard;2010-08-19
2445;17764;2009-09-16;Low;27;644.4;0.04;Regular Air;-97.28;22.84;16.87;Don Miller;Xerox 1982;2009-09-16
2483;18080;2009-06-22;High;7;1211.98;0.1;Delivery Truck;-80.83;180.98;26.2;Sylvia Foulston;Global Ergonomic Managers Chair;2009-06-23
2487;18113;2012-08-28;Not Specified;27;3316.08;0.08;Delivery Truck;-514.32;130.98;30;Becky Castell;Office Star - Contemporary Task Swivel chair with 2-way adjustable arms. Plum;2012-08-30
2489;18144;2011-06-07;Critical;48;207.08;0.09;Regular Air;-131.82;4.28;5.17;Dorothy Wardle;Xerox 1971;2011-06-09
2490;18144;2011-06-07;Critical;8;234.28;0.09;Regular Air;-65.42;28.28;13.99;Dorothy Wardle;Eldon Portable Mobile Manager;2011-06-09
2491;18144;2011-06-07;Critical;41;1779.8915;0.09;Regular Air;-250.17;55.99;5;Dorothy Wardle;Accessory6;2011-06-09
2520;18308;2009-10-09;Not Specified;30;114.12;0.05;Regular Air;15.73;3.8;1.49;Ann Chong;Durable Pressboard Binders;2009-10-11
